Working_Year,Experience,Employment_Status,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Group,Salary_Million_Won,Employee_Continent,Company_Continent
2020,MI,FT,DE,DE,L,0,Data Scientist,104,Europe,Europe
2020,SE,FT,JP,JP,S,0,Machine Learning Engineer,341,Asia,Asia
2020,SE,FT,GB,GB,M,50,Data Engineer,143,Europe,Europe
2020,MI,FT,HN,HN,S,0,Data Analyst,26,North America,North America
2020,SE,FT,US,US,L,50,Machine Learning Engineer,196,North America,North America
2020,EN,FT,US,US,L,100,Data Analyst,94,North America,North America
2020,MI,FT,HU,HU,L,50,Data Scientist,46,Europe,Europe
2020,MI,FT,US,US,L,100,Data Analyst,177,North America,North America
2020,SE,FT,NZ,NZ,S,50,Data Engineer,164,Oceania,Oceania
2020,EN,FT,FR,FR,S,0,Data Scientist,67,Europe,Europe
2020,MI,FT,IN,IN,L,0,Data Scientist,53,Asia,Asia
2020,EN,FT,FR,FR,M,0,Data Scientist,52,Europe,Europe
2020,MI,FT,US,US,L,100,Data Analyst,114,North America,North America
2020,MI,FT,US,US,L,100,Data Analyst,111,North America,North America
2020,MI,FT,PK,PK,L,50,Data Analyst,10,Asia,Asia
2020,EN,FT,JP,JP,S,100,Data Engineer,54,Asia,Asia
2020,SE,FT,PL,GB,S,100,Data Engineer,149,Europe,Europe
2020,EN,FT,IN,IN,M,50,Data Scientist,7,Asia,Asia
2020,MI,FT,PT,US,M,100,Data Engineer,73,Europe,North America
2020,MI,FT,CN,CN,M,0,Machine Learning Engineer,56,Asia,Asia
2020,MI,FT,IN,IN,L,100,Data Analyst,7,Asia,Asia
2020,SE,FT,GR,GR,L,50,Data Engineer,62,Europe,Europe
2020,MI,FT,US,US,M,0,Data Analyst,128,North America,North America
2020,EX,FT,US,US,L,100,Data Scientist,426,North America,North America
2020,EN,FT,NL,NL,L,50,Data Scientist,55,Europe,Europe
2020,SE,FT,MX,MX,S,0,Data Engineer,43,North America,North America
2020,EN,CT,US,US,L,100,Data Analyst,131,North America,North America
2020,SE,FT,CA,CA,L,50,Machine Learning Engineer,153,North America,North America
2020,MI,FT,DE,DE,S,100,Data Engineer,77,Europe,Europe
2020,EN,FT,US,US,L,100,Data Engineer,91,North America,North America
